"ref","1","2","3"
36979,0.185,-1.675,0.273
61362,0.317,0.456,-0.849
30511,0.476,0.216,-5.027
48331,0.593,-0.009,-6.298
35093,0.549,0.404,NA
1761,0.226,-0.254,-1.643
49783,0.5,-0.103,-0.657
35299,0.672,0.727,-0.606
36681,-0.194,0.245,-0.684
48513,0.541,0.631,0.088
23464,0.255,-1.18,-4.202
50050,0.62,-1.8,0.187
41898,0.441,-0.182,-4.754
60502,0.704,0.236,NA
3912,0.338,-1.538,0.043
38632,-0.266,0.465,-2.679
43129,0.428,0.192,-4.031
25171,0.576,0.22,-1.454
59840,0.472,-0.147,-1.319
3356,0.408,NA,NA
60505,0.382,NA,NA
36914,-0.546,0.375,-0.851
11145,0.188,0.565,-0.547
61643,0.352,0.591,-0.563
32483,0.381,-4.178,-0.51
47221,0.463,-1.183,-0.001
53880,0.507,0.015,-0.111
62197,-0.214,-0.078,-0.153
63005,0.378,0.639,NA
63316,0.212,-0.33,-3.643
18739,0.632,0.294,0.481
60970,0.412,-0.051,-6.268
7308,0.143,-0.916,-0.585
26260,0.533,0.165,-6.474
57613,0.614,-0.022,-0.976
45047,0.474,0.38,-0.286
45790,0.532,-1.248,0.301
2856,0.446,0.415,-0.625
43787,-0.122,0.477,-0.195
6794,-1.395,-0.596,-1.718
51712,0.236,-0.296,-5.083
7150,0.413,-1.461,-1.393
5008,0.239,0.199,-0.625
